Battery discharge Test @ 2.5
Time (ms), Voltage (V), Current (A)
54, 4.2229, 0.0000
561, 4.1312, 0.6048
1068, 4.1303, 0.6049
1575, 4.1229, 0.6051
2082, 4.1226, 0.6063
2589, 4.1219, 0.6064
3096, 4.1210, 0.6065
3609, 4.1135, 0.6067
4116, 4.1134, 0.6069
4623, 4.1131, 0.6079
5130, 4.1124, 0.6079
5637, 4.1118, 0.6080
6144, 4.1108, 0.6081
6652, 4.1046, 0.6082
7159, 4.1046, 0.6083
7666, 4.1043, 0.6085
8173, 4.1038, 0.6087
8680, 4.1033, 0.6089
9187, 4.1027, 0.6091
9694, 4.1015, 0.6093
10201, 4.1005, 0.6095
10708, 4.0991, 0.6097
11215, 4.0981, 0.6098
11722, 4.0972, 0.6099
12229, 4.0959, 0.6101
12736, 4.0951, 0.6103
13243, 4.0942, 0.6104
13750, 4.0929, 0.6106
14257, 4.0922, 0.6107
14764, 4.0915, 0.6108
15271, 4.0904, 0.6109
15778, 4.0897, 0.6111
16295, 4.0886, 0.6112
16802, 4.0880, 0.6113
17309, 4.0874, 0.6114
17816, 4.0863, 0.6116
18323, 4.0856, 0.6116
18830, 4.0850, 0.6117
19337, 4.0840, 0.6119
19844, 4.0835, 0.6120
20351, 4.0829, 0.6121
20858, 4.0821, 0.6122
21365, 4.0815, 0.6123
21872, 4.0809, 0.6124
22379, 4.0801, 0.6125
22886, 4.0796, 0.6125
23393, 4.0787, 0.6127
23901, 4.0782, 0.6128
24408, 4.0776, 0.6129
24926, 4.0768, 0.6130
25433, 4.0764, 0.6130
25940, 4.0758, 0.6131
26447, 4.0750, 0.6132
26954, 4.0746, 0.6133
27461, 4.0741, 0.6134
27968, 4.0732, 0.6135
28475, 4.0727, 0.6136
28982, 4.0720, 0.6137
29489, 4.0716, 0.6137
29996, 4.0712, 0.6138
30503, 4.0705, 0.6139
31010, 4.0701, 0.6140
31517, 4.0696, 0.6140
32024, 4.0690, 0.6141
32531, 4.0686, 0.6142
33038, 4.0681, 0.6143
33545, 4.0674, 0.6144
34052, 4.0670, 0.6144
34559, 4.0666, 0.6145
35066, 4.0659, 0.6146
35573, 4.0654, 0.6147
36080, 4.0648, 0.6148
36587, 4.0644, 0.6148
37094, 4.0641, 0.6149
37601, 4.0635, 0.6150
38108, 4.0631, 0.6150
38615, 4.0627, 0.6151
39122, 4.0620, 0.6152
39629, 4.0616, 0.6153
40136, 4.0612, 0.6153
40643, 4.0606, 0.6154
41150, 4.0601, 0.6155
41667, 4.0596, 0.6156
42174, 4.0592, 0.6156
42681, 4.0589, 0.6157
43188, 4.0583, 0.6157
43695, 4.0579, 0.6158
44202, 4.0575, 0.6159
44709, 4.0569, 0.6160
45216, 4.0565, 0.6160
